Vorname,Total
Nemanja,550
Orhan,548
Saverio,548
Berat,547
Jonah,547
Rodolfo,547
Mikael,546
Alec,545
Allan,544
Leander,544
Thibaut,544
Arturo,543
Cesare,543
Logan,543
Eren,542
Khaled,542
Ewald,541
Ugo,541
Predrag,540
Ramazan,540
Zeno,540
Jerome,539
Jeremias,536
Eros,534
Jetmir,533
Micael,532
Arif,530
Yoan,530
Janosch,528
Morris,526
Gazmend,525
Flamur,523
Fitim,522
Agostinho,521
Kujtim,521
Martim,520
Ron,520
Udo,520
Reinhold,518
Aris,517
Ensar,517
Gian-Luca,517
Joan,517
Jost,515
Mergim,515
Elie,513
Fatih,512
Mahmoud,512
Dietrich,511
Bernardo,510
Florim,510
Ardit,508
Metin,508
Mirsad,508
Kuno,507
Ekrem,506
Rinor,505
Camille,504
Ramiz,504
Grzegorz,502
Nebojsa,501
Corrado,500
Vinzenz,500
Altin,499
Eddy,499
Marin,499
Andrzej,498
Petr,498
Serkan,497
Fabiano,495
Mathéo,495
Janic,493
Laszlo,492
Pierre-Yves,492
Benoit,490
Devin,490
Senad,490
Adel,489
Admir,488
Kaan,486
Kenneth,486
Kévin,486
Afonso,485
Labinot,485
Sadik,479
Christos,477
Ilias,477
Zoltán,477
Gennaro,476
Noar,476
Siro,476
Andrei,474
Astrit,473
Matej,473
Neo,470
Besart,469
Edon,469
Rene,469
Elion,468
Jean-Baptiste,467
Melchior,467
Safet,467
